name,url,description
,https://www.shl.com/products/,Home Products
,https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/,Home Products Assessments Personality Assessment SHL Occupational Personality Questionnaire (OPQ)  Assessing Candidates Participants answer questions about their working preferences to identify their strengths and areas for development within the universal competency framework. Profile Matching Cand
,https://www.shl.com/products/assessments/job-focused-assessments/,"Home Products Assessments Job-Focused Assessments Strong Prediction of Success Get a well-rounded view of each candidate’s level of potential, readiness, and fit through one single assessment. Job-Focused Assessments utilize Apta, a direct measure of observable competency behaviors linked to perform"
,https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/,"Home Products Assessments Personality Assessment SHL Motivation Questionnaire (MQ) Motivation Evaluation Participants rate a series of situations or conditions, deciding how each would affect their motivation to work. Candidate Profile Seamless Integration"
,https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/,Home Products Assessments Behavioral Assessments Situation Judgement Tests (SJT) Evaluating Candidates' Judgement Candidates complete role and culture-based brief scenarios tailored to specific roles or drawn from SHL's bank for quick deployment. Evaluating Behavioral Fit Streamline Candidate Select
,https://www.shl.com/products/assessments/cognitive-assessments/,Home Products Assessments Cognitive Assessments
,https://www.shl.com/products/360/,"Home Products 360 Actionable Talent Insights Data visualizations bring accuracy, fairness, and agility to HR decision making. And automated digital development reports support employee growth. Employee Assessments Grounded in Science Engaging Experiences"
,https://www.shl.com/products/assessments/,Home Products Assessments   What is the SHL OPQ? Are SHL assessments reliable? What are psychometric assessments? Why should I use psychometric assessments? Can psychometric assessments be tailored for an organization? Is it better to use psychometric assessments or AI to collect talent data? Are SH
,https://www.shl.com/products/assessments/behavioral-assessments/,Home Products Assessments Behavioral Assessments When can I use SHL’s Behavioral Assessments? Are Behavioral Assessments available on mobile? What reports are available from the Behavioral Assessments?
,https://www.shl.com/products/assessments/personality-assessment/,Home Products Assessments Personality Assessment When can I use Personality Assessments? Are these personality tests available on mobile? What reports are available from these Personality Assessments? What accessibility features are available for these personality tests? How are these assessments ad
,https://www.shl.com/products/video-interviews/,"Home Products Video Interviews 89% Delight and Impress Your Candidates 89% of candidates rated SHL’s digital interview experience as ""excellent."" 4,200+ Save Hiring Managers' Time Financial services firm saved 4,200+ interview hours by automating interview process. 60% Shortlist Top Talent Faster SH"
,https://www.shl.com/products/assessments/skills-and-simulations/,Home Products Assessments Skills & Simulations
,https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/,Home Products Assessments Skills & Simulations Call Center Simulations Optimize Customer Service Excellence Measure critical customer service skills including: Service Orientation Issue Resolution Attentiveness Navigation Typing Achievement Choose our ready-to-deploy simulations available for multip
,https://www.shl.com/products/assessments/skills-and-simulations/business-skills/,Home Products Assessments Skills & Simulations Business Skills
,https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/,Home Products Assessments Skills & Simulations Coding Simulations   Real-Life Problem Solving SHL's online coding tests allow applicants to solve real-life problems by running and testing their own source code in our IDE. Coding Skills Report Smart Interview Live Coding
,https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/,Home Products Assessments Skills & Simulations Technical Skills
,https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/,Home Products Assessments Skills & Simulations Language Evaluation
,https://www.shl.com/products/assessments/assessment-and-development-centers/,Home Products Assessments Virtual Assessment & Development Centers Ultimate Assessment Experience Effortlessly organize and run your centers with a digital platform that delights participants with interactive media and a clear and engaging end-to-end process. Real World Tech Assessment Accelerate In
,https://www.shl.com/products/product-catalog/,Home Products Product Catalog Search by keyword... Keyword Search Search by choosing one or more... Job Family Select... Job Level Select... Industry Select... Language Select... Search Search by job by title... Job Category Select... Search Pre-packaged Job Solutions Remote Testing Adaptive/IRT Tes
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,"Home Products Product Catalog Account Manager Solution Description The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, bu"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Home Products Product Catalog Administrative Professional - Short Form Description The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,"Home Products Product Catalog Agency Manager Solution Description The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial act"
