name,url,description,test_type,category
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,"Home Products Product Catalog Account Manager Solution Description The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, bu",K,Individual Test Solution
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Home Products Product Catalog Administrative Professional - Short Form Description The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for,K,Individual Test Solution
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,"Home Products Product Catalog Agency Manager Solution Description The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial act",K,Individual Test Solution
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Home Products Product Catalog Apprentice + 8.0 Job Focused Assessment Description The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for c",K,Individual Test Solution
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Home Products Product Catalog Apprentice 8.0 Job Focused Assessment Description The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship mo",K,Individual Test Solution
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,"Home Products Product Catalog Bank Administrative Assistant - Short Form Description The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, manag",K,Individual Test Solution
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,"Home Products Product Catalog Bank Collections Agent - Short Form Description This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability",K,Individual Test Solution
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,"Home Products Product Catalog Bank Operations Supervisor - Short Form Description The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning a",K,Individual Test Solution
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"Home Products Product Catalog Bilingual Spanish Reservation Agent Solution Description The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in ",K,Individual Test Solution
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Home Products Product Catalog Bookkeeping, Accounting, Auditing Clerk Short Form Description The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job i",K,Individual Test Solution
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,"Home Products Product Catalog Branch Manager - Short Form Description This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team managemen",K,Individual Test Solution
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"Home Products Product Catalog Cashier Solution Description The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offe",K,Individual Test Solution
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"Home Products Product Catalog Global Skills Development Report Description This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their c",P,Individual Test Solution
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,"Home Products Product Catalog .NET Framework 4.5 Description The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance,",K,Individual Test Solution
