name,url,category,test_type,llm_enriched_text
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Individual Test Solution,K,"Assessment Name: Account Manager Solution
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Account Manager Solution Description The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, bu

Skills Measured: 
Relevant Roles: 
Keywords: "
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Individual Test Solution,K,"Assessment Name: Administrative Professional - Short Form
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Administrative Professional - Short Form Description The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for

Skills Measured: 
Relevant Roles: 
Keywords: "
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Individual Test Solution,K,"Assessment Name: Agency Manager Solution
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Agency Manager Solution Description The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial act

Skills Measured: 
Relevant Roles: 
Keywords: "
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Individual Test Solution,K,"Assessment Name: Apprentice + 8.0 Job Focused Assessment
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Apprentice + 8.0 Job Focused Assessment Description The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for c

Skills Measured: 
Relevant Roles: 
Keywords: "
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Individual Test Solution,K,"Assessment Name: Apprentice 8.0 Job Focused Assessment
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Apprentice 8.0 Job Focused Assessment Description The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship mo

Skills Measured: 
Relevant Roles: 
Keywords: "
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Individual Test Solution,K,"Assessment Name: Bank Administrative Assistant - Short Form
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Bank Administrative Assistant - Short Form Description The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, manag

Skills Measured: 
Relevant Roles: 
Keywords: "
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Individual Test Solution,K,"Assessment Name: Bank Collections Agent - Short Form
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Bank Collections Agent - Short Form Description This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability

Skills Measured: 
Relevant Roles: 
Keywords: "
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Individual Test Solution,K,"Assessment Name: Bank Operations Supervisor - Short Form
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Bank Operations Supervisor - Short Form Description The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning a

Skills Measured: 
Relevant Roles: 
Keywords: "
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Individual Test Solution,K,"Assessment Name: Bilingual Spanish Reservation Agent Solution
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Bilingual Spanish Reservation Agent Solution Description The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in 

Skills Measured: 
Relevant Roles: 
Keywords: "
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Individual Test Solution,K,"Assessment Name: Bookkeeping, Accounting, Auditing Clerk Short Form
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Bookkeeping, Accounting, Auditing Clerk Short Form Description The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job i

Skills Measured: 
Relevant Roles: 
Keywords: "
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Individual Test Solution,K,"Assessment Name: Branch Manager - Short Form
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Branch Manager - Short Form Description This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team managemen

Skills Measured: 
Relevant Roles: 
Keywords: "
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,Individual Test Solution,K,"Assessment Name: Cashier Solution
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog Cashier Solution Description The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offe

Skills Measured: 
Relevant Roles: 
Keywords: "
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Individual Test Solution,P,"Assessment Name: Global Skills Development Report
Assessment Type: P
Category: Individual Test Solution

Overview: Home Products Product Catalog Global Skills Development Report Description This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their c

Skills Measured: 
Relevant Roles: 
Keywords: "
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Individual Test Solution,K,"Assessment Name: .NET Framework 4.5
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog .NET Framework 4.5 Description The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance,

Skills Measured: 
Relevant Roles: 
Keywords: "
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Individual Test Solution,K,"Assessment Name: .NET MVC (New)
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog .NET MVC (New) Description Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length A

Skills Measured: 
Relevant Roles: 
Keywords: "
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Individual Test Solution,K,"Assessment Name: .NET MVVM (New)
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog .NET MVVM (New) Description Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length A

Skills Measured: 
Relevant Roles: 
Keywords: "
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Individual Test Solution,K,"Assessment Name: .NET WCF (New)
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog .NET WCF (New) Description Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment l

Skills Measured: 
Relevant Roles: 
Keywords: "
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Individual Test Solution,K,"Assessment Name: .NET WPF (New)
Assessment Type: K
Category: Individual Test Solution

Overview: Home Products Product Catalog .NET WPF (New) Description Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications. Job levels Mid-Professional, Professional Individual Contributor, Languages Engli

Skills Measured: 
Relevant Roles: 
Keywords: "
